id,nama,induk_id,level
010000,D.K.I. Jakarta,,1
010100,Kab. Kepulauan Seribu,010000,2
016000,Jakarta Pusat,010000,2
016100,Jakarta Utara,010000,2
016200,Jakarta Barat,010000,2
016300,Jakarta Selatan,010000,2
016400,Jakarta Timur,010000,2
020000,Jawa Barat,,1
020500,Kab. Bogor,020000,2
020600,Kab. Sukabumi,020000,2
020700,Kab. Cianjur,020000,2
020800,Kab. Bandung,020000,2
021000,Kab. Sumedang,020000,2
021100,Kab. Garut,020000,2
021200,Kab. Tasikmalaya,020000,2
021400,Kab. Ciamis,020000,2
021500,Kab. Kuningan,020000,2
021600,Kab. Majalengka,020000,2
021700,Kab. Cirebon,020000,2
021800,Kab. Indramayu,020000,2
021900,Kab. Subang,020000,2
022000,Kab. Purwakarta,020000,2
022100,Kab. Karawang,020000,2
022200,Kab. Bekasi,020000,2
022300,Kab. Bandung Barat,020000,2
026000,Bandung,020000,2
026100,Bogor,020000,2
026200,Sukabumi,020000,2
026300,Cirebon,020000,2
026500,Bekasi,020000,2
026600,Depok,020000,2
026700,Cimahi,020000,2
026800,Tasikmalaya,020000,2
026900,Banjar,020000,2
030000,Jawa Tengah,,1
030100,Kab. Cilacap,030000,2
030200,Kab. Banyumas,030000,2
030300,Kab. Purbalingga,030000,2
030400,Kab. Banjarnegara,030000,2
030500,Kab. Kebumen,030000,2
030600,Kab. Purworejo,030000,2
030700,Kab. Wonosobo,030000,2
030800,Kab. Magelang,030000,2
030900,Kab. Boyolali,030000,2
031000,Kab. Klaten,030000,2
031100,Kab. Sukoharjo,030000,2
031200,Kab. Wonogiri,030000,2
031300,Kab. Karanganyar,030000,2
031400,Kab. Sragen,030000,2
031500,Kab. Grobogan,030000,2
031600,Kab. Blora,030000,2
031700,Kab. Rembang,030000,2
031800,Kab. Pati,030000,2
031900,Kab. Kudus,030000,2
032000,Kab. Jepara,030000,2
032100,Kab. Demak,030000,2
032200,Kab. Semarang,030000,2
032300,Kab. Temanggung,030000,2
032400,Kab. Kendal,030000,2
032500,Kab. Batang,030000,2
032600,Kab. Pekalongan,030000,2
032700,Kab. Pemalang,030000,2
032800,Kab. Tegal,030000,2
032900,Kab. Brebes,030000,2
036000,Magelang,030000,2
036100,Surakarta,030000,2
036200,Salatiga,030000,2
036300,Semarang,030000,2
036400,Pekalongan,030000,2
036500,Tegal,030000,2
040000,D.I. Yogyakarta,,1
040100,Kab. Bantul,040000,2
040200,Kab. Sleman,040000,2
040300,Kab. Gunung Kidul,040000,2
040400,Kab. Kulon Progo,040000,2
046000,Yogyakarta,040000,2
050000,Jawa Timur,,1
050100,Kab. Gresik,050000,2
050200,Kab. Sidoarjo,050000,2
050300,Kab. Mojokerto,050000,2
050400,Kab. Jombang,050000,2
050500,Kab. Bojonegoro,050000,2
050600,Kab. Tuban,050000,2
050700,Kab. Lamongan,050000,2
050800,Kab. Madiun,050000,2
050900,Kab. Ngawi,050000,2
051000,Kab. Magetan,050000,2
051100,Kab. Ponorogo,050000,2
051200,Kab. Pacitan,050000,2
051300,Kab. Kediri,050000,2
051400,Kab. Nganjuk,050000,2
051500,Kab. Blitar,050000,2
051600,Kab. Tulungagung,050000,2
051700,Kab. Trenggalek,050000,2
051800,Kab. Malang,050000,2
051900,Kab. Pasuruan,050000,2
052000,Kab. Probolinggo,050000,2
052100,Kab. Lumajang,050000,2
052200,Kab. Bondowoso,050000,2
052300,Kab. Situbondo,050000,2
052400,Kab. Jember,050000,2
052500,Kab. Banyuwangi,050000,2
052600,Kab. Pamekasan,050000,2
052700,Kab. Sampang,050000,2
052800,Kab. Sumenep,050000,2
052900,Kab. Bangkalan,050000,2
056000,Surabaya,050000,2
056100,Malang,050000,2
056200,Madiun,050000,2
056300,Kediri,050000,2
056400,Mojokerto,050000,2
056500,Blitar,050000,2
056600,Pasuruan,050000,2
056700,Probolinggo,050000,2
056800,Batu,050000,2
060000,Aceh,,1
060100,Kab. Aceh Besar,060000,2
060200,Kab. Pidie,060000,2
060300,Kab. Aceh Utara,060000,2
060400,Kab. Aceh Timur,060000,2
060500,Kab. Aceh Tengah,060000,2
060600,Kab. Aceh Barat,060000,2
060700,Kab. Aceh Selatan,060000,2
060800,Kab. Aceh Tenggara,060000,2
061100,Kab. Simeulue,060000,2
061200,Kab. Bireuen,060000,2
061300,Kab. Aceh Singkil,060000,2
061400,Kab. Aceh Tamiang,060000,2
061500,Kab. Nagan Raya,060000,2
061600,Kab. Aceh Jaya,060000,2
061700,Kab. Aceh Barat Daya,060000,2
061800,Kab. Gayo Lues,060000,2
061900,Kab. Bener Meriah,060000,2
062000,Kab. Pidie Jaya,060000,2
066000,Sabang,060000,2
066100,Banda Aceh,060000,2
066200,Lhokseumawe,060000,2
066300,Langsa,060000,2
066400,Kab. Sabussalam,060000,2
070000,Sumatera Utara,,1
070100,Kab. Deli Serdang,070000,2
070200,Kab. Langkat,070000,2
070300,Kab. Karo,070000,2
070400,Kab. Simalungun,070000,2
070500,Kab. Dairi,070000,2
070600,Kab. Asahan,070000,2
070700,Kab. Labuhan Batu,070000,2
070800,Kab. Tapanuli Utara,070000,2
070900,Kab. Tapanuli Tengah,070000,2
071000,Kab. Tapanuli Selatan,070000,2
071100,Kab. Nias,070000,2
071500,Kab. Mandailing Natal,070000,2
071600,Kab. Toba Samosir,070000,2
071700,Kab. Nias Selatan,070000,2
071800,Kab. Pak pak Bharat,070000,2
071900,Kab. Humbang Hasudutan,070000,2
072000,Kab. Samosir,070000,2
072100,Kab. Serdang Bedagai,070000,2
072200,Kab. Batubara,070000,2
072300,Kab. Padang Lawas utara,070000,2
072400,Kab. Padang Lawas,070000,2
072500,Kab. Labuhan Batu Utara,070000,2
072600,Kab. Labuhan Batu Selatan,070000,2
072700,Kab. Nias Barat,070000,2
072800,Kab. Nias Utara,070000,2
076000,Medan,070000,2
076100,Binjai,070000,2
076200,Tebing Tinggi,070000,2
076300,Pematang Siantar,070000,2
076400,Tanjung Balai,070000,2
076500,Sibolga,070000,2
076600,Padang Sidempuan,070000,2
076700,Gunung Sitoli,070000,2
080000,Sumatera Barat,,1
080100,Kab. Agam,080000,2
